Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
63103712,"The Only Purple House in Town (Fix-It Witches, #4)",Ann Aguirre,"Aguirre, Ann",,"=""1728262496""","=""9781728262499""",0,3.47,Sourcebooks Casablanca,Paperback,368,2023,2023,,2023/10/31,currently-reading,currently-reading (#5),currently-reading,,,,1,0
199334767,Same Time Next Year,Tessa Bailey,"Bailey, Tessa",,"=""1662517912""","=""9781662517914""",4,3.60,Amazon Original Stories,Kindle Edition,144,2023,2023,2023/12/13,2023/11/26,,,read,,,,1,0
53711756,When Harry Met Harry,Sydney Smyth,"Smyth, Sydney","Teddy Hamilton, Malcolm Young","=""""","=""""",3,3.51,Audible Originals,Audible Audio,9,2020,2020,2023/12/12,2023/11/26,,,read,This book makes me realize how problematic part of When Harry Met Sally are. Teddy Hamilton was the reason I finished it.,,,1,0
137231760,King of Storms and Feathers: A Dark Fae Fantasy Romance,Juno Heart,"Heart, Juno",,"=""""","=""9780645624267""",0,3.61,,Kindle Edition,421,2023,2023,,2023/12/11,to-read,to-read (#207),to-read,,,,0,0
40120621,From Lukov with Love,Mariana Zapata,"Zapata, Mariana","Callie Dalton, Teddy Hamilton","=""""","=""""",0,4.25,,Audible Audio,15,2018,2018,,2023/12/11,to-read,to-read (#206),to-read,,,,0,0
61150440,"A Fire in the Flesh (Flesh and Fire, #3)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""1957568496""","=""""",4,4.12,Blue Box Press,Kindle Edition,632,2023,2023,2023/12/11,2023/11/28,,,read,The story in this one was really good but about 200 pages could have been removed because it was just Sera internally monologuing the same things over and over again. Not sure where the doctors were on this one.,,,1,0
199523170,Won't You Fly Away With Me?,Garrett Curbow,"Curbow, Garrett",,"=""""","=""""",0,5.00,,,,,,,2023/12/10,to-read,to-read (#205),to-read,,,,0,0
60856468,Sinful Vows (Messina Crime Family #1),Lilian Harris,"Harris, Lilian",,"=""""","=""""",5,4.05,,Kindle Edition,466,2023,,2023/12/08,2023/12/07,,,read,,,,1,0
56182388,"The Finish Line (The Ravenhood, #3)",Kate  Stewart,"Stewart, Kate",,"=""""","=""9798701102628""",0,4.29,Independently published,Paperback,450,2021,2021,,2023/12/08,to-read,to-read (#204),to-read,,,,0,0
53312623,"Exodus (The Ravenhood, #2)",Kate  Stewart,"Stewart, Kate",,"=""""","=""9798672214306""",0,4.42,Independently published,Paperback,450,2020,2020,,2023/12/08,to-read,to-read (#203),to-read,,,,0,0
40748777,"Flock (The Ravenhood, #1)",Kate  Stewart,"Stewart, Kate",,"=""""","=""9798666886403""",0,4.14,Independently published,Paperback,354,2020,2020,,2023/12/08,to-read,to-read (#202),to-read,,,,0,0
60227434,"Epic (Him, #2.5)",Sarina Bowen,"Bowen, Sarina",Elle Kennedy,"=""195015503X""","=""9781950155033""",5,4.29,Tuxbury Publishing LLC,Kindle Edition,48,2022,2020,2023/12/07,2023/12/07,,,read,,,,1,0
59754583,"Us (Him, #2)",Sarina Bowen,"Bowen, Sarina",Elle Kennedy,"=""1954500505""","=""9781954500501""",5,4.29,Rennie Road Books,Paperback,320,2021,2016,2023/12/07,2023/12/06,,,read,,,,1,0
59754566,Him (Him #1),Sarina Bowen,"Bowen, Sarina",Elle Kennedy,"=""1954500491""","=""9781954500495""",5,4.25,Rennie Road Books,Paperback,336,2021,2015,2023/12/06,2023/11/26,,,read,,,,1,0
172133046,"A Light in the Flame (Flesh and Fire, #2)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",,"=""""","=""9781957568164""",5,4.52,Blue Box Press,Paperback,615,2022,2022,2023/12/05,2023/11/28,,,read,,,,1,0
